id,nombre,descripcion,categoria,marca,material,precio_original,descuento,precio_final,colores,tallas,disponibilidad,stock_total,disponible,destacado,nuevo,temporada,puntuacion,num_resenas,codigo_barras,fecha_ingreso
FS0019,Blusas Urban Wear,"Blusas en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Blusas,Urban Wear,Lana,69.5,0,69.5,['Rosa'],"['L', 'XS', 'XL']","{'Rosa': {'L': 17, 'XS': 10, 'XL': 0}}",27,True,False,False,Invierno,4.2,123,7810274737596,2024-11-06
FS0020,Vestido Fiesta Modern Style,"Vestido Fiesta en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Vestidos,Modern Style,Lana,227.9,12,200.55,['Beige'],"['XL', 'S', 'XS', 'M']","{'Beige': {'XL': 2, 'S': 0, 'XS': 16, 'M': 10}}",28,True,False,True,Invierno,3.8,124,7850014947149,2024-08-26
FS0021,Camisa Oxford Urban Wear,"Camisa Oxford en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Camisas,Urban Wear,Lycra,114.9,0,114.9,['Rosa Pastel'],"['XL', 'S', 'XS']","{'Rosa Pastel': {'XL': 18, 'S': 4, 'XS': 14}}",36,True,False,False,Todo el año,4.8,150,7816380995138,2024-09-11
FS0022,Bolso de Mano Modern Style,"Bolso de Mano en Cuero, diseño moderno y cómodo. Perfecto para uso diario.",Bolsos,Modern Style,Cuero,177.9,0,177.9,"['Azul', 'Bordeaux', 'Gris Oscuro', 'Naranja']",['Único'],"{'Azul': {'Único': 19}, 'Bordeaux': {'Único': 9}, 'Gris Oscuro': {'Único': 8}, 'Naranja': {'Único': 16}}",52,True,False,False,Verano,4.8,107,7814403936713,2024-05-22
FS0023,Camisa Formal Urban Wear,"Camisa Formal en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Camisas,Urban Wear,Lycra,74.5,0,74.5,"['Azul Cielo', 'Rosa Pastel', 'Rojo', 'Gris']","['S', 'XXL', 'M', 'XS', 'L']","{'Azul Cielo': {'S': 0, 'XXL': 7, 'M': 12, 'XS': 8, 'L': 2}, 'Rosa Pastel': {'S': 1, 'XXL': 11, 'M': 0, 'XS': 19, 'L': 9}, 'Rojo': {'S': 0, 'XXL': 20, 'M': 20, 'XS': 0, 'L': 9}, 'Gris': {'S': 10, 'XXL': 0, 'M': 15, 'XS': 9, 'L': 14}}",166,True,True,False,Invierno,4.6,134,7857763044582,2024-08-06
FS0024,Camisa Lino Classic Collection,"Camisa Lino en Algodón-Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Camisas,Classic Collection,Algodón-Poliéster,81.5,0,81.5,"['Naranja', 'Azul Marino', 'Gris Oscuro']","['M', 'XXL', 'L']","{'Naranja': {'M': 6, 'XXL': 0, 'L': 18}, 'Azul Marino': {'M': 0, 'XXL': 16, 'L': 19}, 'Gris Oscuro': {'M': 17, 'XXL': 9, 'L': 11}}",96,True,True,False,Todo el año,3.6,44,7863595256121,2024-04-26
FS0025,Zapatos Oxford Sport Active,"Zapatos Oxford en Cuero, diseño moderno y cómodo. Perfecto para uso diario.",Zapatos,Sport Active,Cuero,198.9,0,198.9,"['Negro', 'Azul Marino', 'Bordeaux', 'Beige']","['38', '45', '36', '40']","{'Negro': {'38': 20, '45': 15, '36': 9, '40': 19}, 'Azul Marino': {'38': 6, '45': 13, '36': 13, '40': 16}, 'Bordeaux': {'38': 2, '45': 17, '36': 0, '40': 12}, 'Beige': {'38': 15, '45': 0, '36': 18, '40': 18}}",193,True,False,False,Primavera,4.3,5,7841511109008,2024-01-05
FS0026,Faldas Casual Comfort,"Faldas en Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Faldas,Casual Comfort,Poliéster,90.9,0,90.9,"['Gris', 'Bordeaux', 'Azul Marino']","['XS', 'L', 'S', 'M']","{'Gris': {'XS': 13, 'L': 0, 'S': 17, 'M': 8}, 'Bordeaux': {'XS': 19, 'L': 0, 'S': 0, 'M': 7}, 'Azul Marino': {'XS': 16, 'L': 11, 'S': 0, 'M': 13}}",104,True,False,False,Verano,3.8,39,7896349090020,2024-09-25
FS0027,Polo Piqué Sport Active,"Polo Piqué en Seda, diseño moderno y cómodo. Perfecto para uso diario.",Polos,Sport Active,Seda,67.5,34,44.55,"['Marrón', 'Rosa']","['L', 'XL', 'S']","{'Marrón': {'L': 1, 'XL': 4, 'S': 4}, 'Rosa': {'L': 17, 'XL': 11, 'S': 8}}",45,True,False,False,Invierno,3.9,72,7871727850165,2024-02-06
FS0028,Shorts Classic Collection,"Shorts en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Shorts,Classic Collection,Lycra,88.9,0,88.9,"['Gris Oscuro', 'Blanco', 'Crema']","['36', '42', '32', '40', '38', '28']","{'Gris Oscuro': {'36': 11, '42': 17, '32': 0, '40': 12, '38': 7, '28': 1}, 'Blanco': {'36': 0, '42': 15, '32': 7, '40': 20, '38': 8, '28': 3}, 'Crema': {'36': 14, '42': 1, '32': 20, '40': 5, '38': 12, '28': 0}}",153,True,False,True,Primavera,3.6,42,7820345558514,2024-08-25
FS0029,Hoodies Elegant Touch,"Hoodies en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Hoodies,Elegant Touch,Lycra,44.5,22,34.71,"['Verde Oliva', 'Rojo', 'Negro', 'Amarillo']","['M', 'L', 'XXL', 'XL', 'S']","{'Verde Oliva': {'M': 16, 'L': 14, 'XXL': 3, 'XL': 16, 'S': 15}, 'Rojo': {'M': 16, 'L': 8, 'XXL': 9, 'XL': 6, 'S': 7}, 'Negro': {'M': 14, 'L': 0, 'XXL': 18, 'XL': 0, 'S': 13}, 'Amarillo': {'M': 5, 'L': 14, 'XXL': 7, 'XL': 3, 'S': 4}}",188,True,False,True,Verano,3.8,26,7897200977753,2024-04-17
FS0030,Camisa Formal Sport Active,"Camisa Formal en Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Camisas,Sport Active,Poliéster,93.9,0,93.9,"['Blanco', 'Amarillo', 'Verde', 'Azul']","['S', 'L', 'XS', 'XL', 'M']","{'Blanco': {'S': 17, 'L': 10, 'XS': 11, 'XL': 19, 'M': 12}, 'Amarillo': {'S': 14, 'L': 1, 'XS': 12, 'XL': 8, 'M': 15}, 'Verde': {'S': 4, 'L': 11, 'XS': 0, 'XL': 10, 'M': 19}, 'Azul': {'S': 0, 'L': 0, 'XS': 10, 'XL': 5, 'M': 8}}",186,True,False,False,Primavera,4.7,104,7822770498149,2024-11-04
FS0031,Cinturones Sport Active,"Cinturones en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Cinturones,Sport Active,Lana,75.5,48,39.26,"['Crema', 'Rosa', 'Naranja']",['Único'],"{'Crema': {'Único': 17}, 'Rosa': {'Único': 20}, 'Naranja': {'Único': 13}}",50,True,False,False,Todo el año,4.5,95,7896599475998,2024-07-28
FS0032,Zapatillas Casual Casual Comfort,"Zapatillas Casual en Seda, diseño moderno y cómodo. Perfecto para uso diario.",Zapatillas,Casual Comfort,Seda,236.5,0,236.5,"['Rojo', 'Morado', 'Bordeaux']","['38', '45', '42', '36', '40', '43', '37']","{'Rojo': {'38': 4, '45': 0, '42': 8, '36': 3, '40': 8, '43': 5, '37': 0}, 'Morado': {'38': 11, '45': 9, '42': 0, '36': 0, '40': 6, '43': 13, '37': 2}, 'Bordeaux': {'38': 7, '45': 11, '42': 0, '36': 14, '40': 0, '43': 14, '37': 5}}",120,True,False,False,Otoño,4.7,43,7870681608855,2024-09-14
FS0033,Accesorios Casual Comfort,"Accesorios en Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Accesorios,Casual Comfort,Poliéster,67.9,0,67.9,"['Amarillo', 'Azul']",['Único'],"{'Amarillo': {'Único': 5}, 'Azul': {'Único': 17}}",22,True,True,False,Primavera,4.6,97,7881930190920,2024-09-26
FS0034,Polo Elegante Sport Active,"Polo Elegante en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Polos,Sport Active,Spandex,37.5,0,37.5,['Crema'],"['S', 'XXL', 'XL']","{'Crema': {'S': 0, 'XXL': 20, 'XL': 19}}",39,True,True,True,Invierno,4.5,105,7834108455314,2024-04-23
FS0035,Vestido Fiesta Classic Collection,"Vestido Fiesta en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Vestidos,Classic Collection,Algodón 100%,237.9,0,237.9,['Rosa Pastel'],"['XL', 'XXL', 'XS', 'S']","{'Rosa Pastel': {'XL': 0, 'XXL': 6, 'XS': 7, 'S': 0}}",13,True,False,False,Invierno,4.1,18,7869998288655,2024-10-17
FS0036,Sacos Fashion Store,"Sacos en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Sacos,Fashion Store,Lana,271.5,0,271.5,['Marrón'],"['XS', 'M', 'S', 'XL', 'XXL']","{'Marrón': {'XS': 11, 'M': 19, 'S': 6, 'XL': 3, 'XXL': 0}}",39,True,False,True,Verano,3.9,132,7829824752675,2024-02-13
FS0037,Jeans Relaxed Casual Comfort,"Jeans Relaxed en Ante, diseño moderno y cómodo. Perfecto para uso diario.",Jeans,Casual Comfort,Ante,148.5,38,92.07,"['Bordeaux', 'Verde Oliva', 'Azul Cielo', 'Blanco']","['40', '28', '30', '36']","{'Bordeaux': {'40': 18, '28': 17, '30': 5, '36': 0}, 'Verde Oliva': {'40': 12, '28': 5, '30': 18, '36': 15}, 'Azul Cielo': {'40': 0, '28': 20, '30': 0, '36': 4}, 'Blanco': {'40': 9, '28': 16, '30': 18, '36': 0}}",157,True,False,False,Otoño,4.0,45,7826418689153,2024-08-03
FS0038,Cinturones Fashion Store,"Cinturones en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Cinturones,Fashion Store,Spandex,89.5,27,65.33,['Rosa'],['Único'],{'Rosa': {'Único': 15}},15,True,True,False,Otoño,3.7,45,7867156025231,2024-03-09
FS0039,Pantalón Deportivo Modern Style,"Pantalón Deportivo en Lino, diseño moderno y cómodo. Perfecto para uso diario.",Pantalones,Modern Style,Lino,112.5,0,112.5,['Rosa'],"['34', '38', '40', '28']","{'Rosa': {'34': 8, '38': 6, '40': 13, '28': 0}}",27,True,False,False,Invierno,4.7,147,7824368361088,2024-07-18
FS0040,Carteras Urban Wear,"Carteras en Lino, diseño moderno y cómodo. Perfecto para uso diario.",Carteras,Urban Wear,Lino,80.9,0,80.9,"['Rojo', 'Naranja', 'Verde', 'Bordeaux']",['Único'],"{'Rojo': {'Único': 9}, 'Naranja': {'Único': 0}, 'Verde': {'Único': 16}, 'Bordeaux': {'Único': 0}}",25,True,False,False,Otoño,4.9,72,7810129340066,2024-10-19
FS0041,Hoodies Urban Wear,"Hoodies en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Hoodies,Urban Wear,Spandex,93.9,0,93.9,"['Verde', 'Bordeaux', 'Crema']","['L', 'XS', 'M', 'S']","{'Verde': {'L': 12, 'XS': 4, 'M': 19, 'S': 1}, 'Bordeaux': {'L': 6, 'XS': 17, 'M': 2, 'S': 18}, 'Crema': {'L': 17, 'XS': 12, 'M': 19, 'S': 7}}",134,True,False,False,Otoño,4.8,134,7870696521390,2024-10-13
FS0042,Botas Elegant Touch,"Botas en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Botas,Elegant Touch,Algodón 100%,59.5,0,59.5,['Rosa Pastel'],"['39', '36', '35', '42']","{'Rosa Pastel': {'39': 18, '36': 6, '35': 7, '42': 6}}",37,True,False,False,Otoño,4.0,73,7895371164717,2024-02-09
FS0043,Camiseta Estampada Elegant Touch,"Camiseta Estampada en Denim, diseño moderno y cómodo. Perfecto para uso diario.",Camisetas,Elegant Touch,Denim,27.9,0,27.9,['Morado'],"['XS', 'L', 'M', 'XXL']","{'Morado': {'XS': 0, 'L': 6, 'M': 7, 'XXL': 11}}",24,True,True,True,Invierno,4.2,38,7857366379264,2024-04-16
FS0044,Zapatos Casual Fashion Store,"Zapatos Casual en Seda, diseño moderno y cómodo. Perfecto para uso diario.",Zapatos,Fashion Store,Seda,170.9,0,170.9,['Blanco'],"['37', '41', '39', '35', '40', '43', '42']","{'Blanco': {'37': 4, '41': 16, '39': 0, '35': 19, '40': 5, '43': 18, '42': 0}}",62,True,False,False,Primavera,4.7,32,7812110406846,2024-11-07
FS0045,Vestido Verano Elegant Touch,"Vestido Verano en Viscosa, diseño moderno y cómodo. Perfecto para uso diario.",Vestidos,Elegant Touch,Viscosa,87.5,0,87.5,['Rosa Pastel'],"['XXL', 'XL', 'S', 'L']","{'Rosa Pastel': {'XXL': 0, 'XL': 0, 'S': 15, 'L': 0}}",15,True,False,False,Primavera,4.1,24,7836578118190,2024-11-05
FS0046,Blazers Sport Active,"Blazers en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Blazers,Sport Active,Lana,287.9,0,287.9,"['Verde Oliva', 'Azul Cielo', 'Azul', 'Gris']","['L', 'XS', 'XL']","{'Verde Oliva': {'L': 2, 'XS': 12, 'XL': 0}, 'Azul Cielo': {'L': 2, 'XS': 12, 'XL': 20}, 'Azul': {'L': 3, 'XS': 11, 'XL': 0}, 'Gris': {'L': 0, 'XS': 0, 'XL': 2}}",64,True,False,True,Verano,4.2,36,7820111430234,2024-01-07
FS0047,Hoodies Elegant Touch,"Hoodies en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Hoodies,Elegant Touch,Spandex,32.9,0,32.9,['Rojo'],"['S', 'L', 'XXL']","{'Rojo': {'S': 11, 'L': 0, 'XXL': 7}}",18,True,False,False,Otoño,4.6,29,7821866024938,2024-11-22
FS0048,Carteras Casual Comfort,"Carteras en Algodón-Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Carteras,Casual Comfort,Algodón-Poliéster,94.9,0,94.9,"['Azul Cielo', 'Amarillo', 'Rosa']",['Único'],"{'Azul Cielo': {'Único': 0}, 'Amarillo': {'Único': 5}, 'Rosa': {'Único': 11}}",16,True,False,False,Primavera,4.8,122,7894558972788,2024-07-19
FS0049,Camiseta Deportiva Premium Line,"Camiseta Deportiva en Seda, diseño moderno y cómodo. Perfecto para uso diario.",Camisetas,Premium Line,Seda,76.9,0,76.9,"['Amarillo', 'Morado', 'Beige']","['XS', 'XL', 'XXL', 'L']","{'Amarillo': {'XS': 2, 'XL': 13, 'XXL': 16, 'L': 18}, 'Morado': {'XS': 0, 'XL': 0, 'XXL': 13, 'L': 10}, 'Beige': {'XS': 11, 'XL': 11, 'XXL': 17, 'L': 0}}",111,True,True,True,Verano,4.7,65,7847616300930,2024-10-07
FS0050,Suéteres Casual Comfort,"Suéteres en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Suéteres,Casual Comfort,Spandex,51.5,0,51.5,"['Naranja', 'Azul Marino', 'Verde Oliva', 'Azul']","['S', 'L', 'XL', 'XS', 'M']","{'Naranja': {'S': 8, 'L': 8, 'XL': 2, 'XS': 7, 'M': 0}, 'Azul Marino': {'S': 16, 'L': 17, 'XL': 0, 'XS': 17, 'M': 16}, 'Verde Oliva': {'S': 9, 'L': 11, 'XL': 18, 'XS': 3, 'M': 14}, 'Azul': {'S': 10, 'L': 0, 'XL': 16, 'XS': 0, 'M': 2}}",174,True,False,False,Primavera,4.1,76,7820326821691,2024-12-09
FS0051,Pantalón Deportivo Casual Comfort,"Pantalón Deportivo en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Pantalones,Casual Comfort,Algodón 100%,117.5,0,117.5,['Azul Cielo'],"['30', '42', '34']","{'Azul Cielo': {'30': 19, '42': 17, '34': 15}}",51,True,False,False,Primavera,4.3,117,7851985717707,2024-05-04
FS0052,Cinturones Classic Collection,"Cinturones en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Cinturones,Classic Collection,Algodón 100%,59.9,0,59.9,['Morado'],['Único'],{'Morado': {'Único': 11}},11,True,False,False,Todo el año,4.3,33,7849939827861,2024-05-27
FS0053,Cinturones Premium Line,"Cinturones en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Cinturones,Premium Line,Lycra,31.9,0,31.9,"['Naranja', 'Crema', 'Gris Oscuro', 'Azul Cielo']",['Único'],"{'Naranja': {'Único': 5}, 'Crema': {'Único': 10}, 'Gris Oscuro': {'Único': 0}, 'Azul Cielo': {'Único': 9}}",24,True,False,False,Verano,4.2,31,7858061084179,2024-11-13
FS0054,Bolso Tote Sport Active,"Bolso Tote en Algodón-Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Bolsos,Sport Active,Algodón-Poliéster,73.5,0,73.5,"['Azul Cielo', 'Rosa', 'Marrón', 'Gris']",['Único'],"{'Azul Cielo': {'Único': 2}, 'Rosa': {'Único': 0}, 'Marrón': {'Único': 16}, 'Gris': {'Único': 8}}",26,True,False,False,Otoño,3.6,106,7813930362485,2024-12-09
FS0055,Zapatillas Running Urban Wear,"Zapatillas Running en Ante, diseño moderno y cómodo. Perfecto para uso diario.",Zapatillas,Urban Wear,Ante,213.5,0,213.5,['Rosa'],"['43', '38', '37', '44', '40', '41', '45']","{'Rosa': {'43': 12, '38': 18, '37': 6, '44': 7, '40': 12, '41': 17, '45': 9}}",81,True,False,False,Todo el año,3.8,31,7877092451473,2024-05-14
FS0056,Polo Elegante Premium Line,"Polo Elegante en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Polos,Premium Line,Lycra,44.5,0,44.5,['Azul'],"['XXL', 'XL', 'XS']","{'Azul': {'XXL': 11, 'XL': 13, 'XS': 6}}",30,True,True,False,Otoño,4.3,22,7868424114388,2024-08-05
FS0057,Cinturones Fashion Store,"Cinturones en Denim, diseño moderno y cómodo. Perfecto para uso diario.",Cinturones,Fashion Store,Denim,69.5,0,69.5,"['Verde', 'Azul', 'Rojo', 'Crema']",['Único'],"{'Verde': {'Único': 13}, 'Azul': {'Único': 0}, 'Rojo': {'Único': 15}, 'Crema': {'Único': 20}}",48,True,False,False,Verano,5.0,102,7886017642522,2024-01-27
FS0058,Sacos Modern Style,"Sacos en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Sacos,Modern Style,Lana,179.5,0,179.5,"['Morado', 'Azul Marino', 'Verde']","['XS', 'S', 'XL']","{'Morado': {'XS': 6, 'S': 4, 'XL': 0}, 'Azul Marino': {'XS': 19, 'S': 1, 'XL': 0}, 'Verde': {'XS': 2, 'S': 6, 'XL': 15}}",53,True,False,False,Todo el año,4.4,113,7820881126893,2024-09-22
FS0059,Chaquetas Sport Active,"Chaquetas en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Chaquetas,Sport Active,Algodón 100%,57.9,0,57.9,"['Azul', 'Rosa', 'Marrón', 'Crema']","['M', 'S', 'L']","{'Azul': {'M': 16, 'S': 0, 'L': 12}, 'Rosa': {'M': 0, 'S': 2, 'L': 9}, 'Marrón': {'M': 17, 'S': 1, 'L': 12}, 'Crema': {'M': 14, 'S': 0, 'L': 14}}",97,True,False,False,Invierno,4.4,39,7851707418375,2024-10-06
FS0060,Carteras Modern Style,"Carteras en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Carteras,Modern Style,Lycra,79.5,0,79.5,"['Negro', 'Verde Oliva']",['Único'],"{'Negro': {'Único': 16}, 'Verde Oliva': {'Único': 3}}",19,True,True,False,Verano,3.8,115,7818028143196,2024-08-27
FS0061,Chaquetas Sport Active,"Chaquetas en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Chaquetas,Sport Active,Algodón 100%,45.9,0,45.9,"['Verde', 'Negro']","['S', 'XL', 'M', 'L', 'XS']","{'Verde': {'S': 5, 'XL': 3, 'M': 0, 'L': 4, 'XS': 9}, 'Negro': {'S': 15, 'XL': 0, 'M': 0, 'L': 4, 'XS': 15}}",55,True,False,False,Invierno,4.2,49,7818782022489,2024-10-17
